Book,Author,Published,Fiction/Nonfiction,Year Read,Rating
the WAR of ART: Breal Thorugh the Blocks and Win Your Inner Creative Battles,Steven Pressfield,2002,Non-Fiction,2020,2
DAMN GOOD ADVICE (for people with talen!) How to Unleash Your Creative Potential by America's Master Communicator,George Lois,2012,Non-Fiction,2020,2
Eat That Frog! 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,2001,Non-Fiction,2020,2
Frankenstien,Mary Shelley,1818,Fiction,2020,3
Blockchain Chicken Farm - And Other Stories of Tech in China's Countryside,Xiaowei Wang,2020,Non-Fiction,2020,2
"Loonshots: Nurture The Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries",Safi Bahcall,2019,Non-Fiction,2020,3
"Hatching Twitter: A True Story of Money, Power, Friendship, and Betrayal",Nick Bilton,2014,Non-Fiction,2020,4
"Zero to One: Notes on Startups, or How to Build The Future",Peter Thiel with Blake Masters,2014,Non-Fiction,2020,2
"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,2012,Non-Fiction,2020,3
The Infinite Machine: How an Army of Crypto Hackers Is Building the Next Internet with Ethereum,Camila Russo,2020,Non-Fiction,2020,3
The Autobiography of Benjamin Franklin,Benjamin Franklin,1791,Non-Fiction,2020,4
Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,2016,Non-Fiction,2020,4
"Bitcoin Billionaires: A True Story of Genius, Betrayal, and Redemption",Ben Mezrich,2019,Non-Fiction,2020,4
The Tao of Pooh,Benjamin Hoff,1982,Mixed,2020,3
Station Eleven,Emily St. John Mandel,2015,Fiction,2020,2
Fahrenheit 451,Ray Bradbury,1953,Fiction,2020,3
The Gurkha and the Lord of Tuesday,Saad Z. Hossain,2019,Fiction,2020,3
